"","Candidate","Constituency","Party","State.name","Candidate.Sex","Candidate.Category","Candidate.Age","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex.Ratio..per.1000.","Average.Literacy","INCUMBENT_PARTY","Incumbency","Education","Total.Assets","Women","Winner","Criminal.Case","SeriousCrime"
"32","ABHIJIT AATYA VASAVE","Nandurbar","IND","Maharashtra","M","ST",30,9457,6,766293,1455543,7,52.6465381,1648295,1521618,96182,978,"64.38%","INC",0,"Not Given",25000,0,0,0,0
"33","ABHIJIT DAS","Diamond harbour","BJP","West Bengal","M","GEN",39,37542,3,1054156,1302398,10,80.93962061,8161961,5155545,2903075,956,"77.51%","CPM",0,NA,NA,NA,NA,NA,NA
"34","ABHIJIT MAJUMDAR","Darjeeling","CPI(ML)(L)","West Bengal","M","GEN",48,3818,7,966912,1215464,10,79.55085465,1846823,1366681,105086,970,"79.56%","INC",0,NA,NA,NA,NA,NA,NA
"35","ABHIRAM BESRA","Purulia","JDP","West Bengal","M","SC",41,6857,9,904851,1257799,14,71.93923671,2930115,2373120,227249,957,"64.48%","AIFB",0,NA,NA,NA,NA,NA,NA
"36","ABHISHEK","Kairana","IND","Uttar Pradesh","M","GEN",25,1052,10,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,"69.12%","RLD",0,"10th Pass",360000,0,0,0,0
"37","ABINASH SAREN","Purulia","AMB","West Bengal","M","ST",39,2942,10,904851,1257799,14,71.93923671,2930115,2373120,227249,957,"64.48%","AIFB",0,NA,NA,NA,NA,NA,NA
"38","ABU ASIM AZMI","Mumbai North West","SP","Maharashtra","M","GEN",53,84412,4,707157,1604992,21,44.05984578,3085411,1873762,773173,832,"89.21%","INC",0,"Graduate",1247388991,0,0,7,1
"39","ABU HASEM KHAN CHOUDHURY","Maldaha Dakshin","INC","West Bengal","M","GEN",65,443377,1,829583,1052093,9,78.85072898,3988845,1914352,2045151,944,"61.73%","INC",1,NA,NA,NA,NA,NA,NA
"40","ABUPACKER SITHIK   J","Sivaganga","IND","Tamil Nadu","M","GEN",38,1874,14,775416,1092438,20,70.98032108,1339101,1186078,74310,1003,"79.85%","INC",0,NA,NA,NA,NA,NA,NA
"41","ACHARIA BASUDEB","Bankura","CPM","West Bengal","M","GEN",67,469223,1,984935,1268563,11,77.64178839,2930115,2373120,227249,957,"64.48%","CPM",1,NA,NA,NA,NA,NA,NA
"42","ACHCHHELAL","Lalganj","IND","Uttar Pradesh","M","SC",42,2489,10,658563,1509536,11,43.62684957,4613913,3878626,718692,1019,"70.93%","SP",0,"8th Pass",120000,0,0,0,0
"43","ACHHEYLAL NISHAD","Jaunpur","NELU","Uttar Pradesh","M","GEN",61,3219,9,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,"71.55%","SP",0,"Not Given",1995000,0,0,0,0
"44","AD ARUN R. KEJRIWAL","Mumbai North","IND","Maharashtra","M","GEN",36,2480,7,685454,1608924,23,42.60325534,3085411,1873762,773173,832,"89.21%","INC",0,"Post Graduate",6428110,0,0,0,0
"45","AD. ANARYA PUNDALIK PAWAR","Mumbai South central","BBM","Maharashtra","M","SC",32,4844,6,598853,1515899,23,39.5048087,3085411,1873762,773173,860,"89.91%","SHS",0,NA,NA,NA,NA,NA,NA
"46","AD. BAIJNATH KUSHWAHA","MORENA","SP","Madhya Pradesh","M","GEN",39,32129,4,710729,1339897,24,53.04355484,1965970,1875495,76159,840,"71.03%","BJP",0,NA,NA,NA,NA,NA,NA
"47","AD. GULVE RAMNATH SANTUJI","Nashik","IND","Maharashtra","M","GEN",42,1605,9,657890,1448414,12,45.42140576,6107187,5237009,693052,934,"82.31%","NCP",0,"Not Given",20221552,0,0,0,0
"48","AD.KAMAT GURUDAS VASANT","Mumbai North West","INC","Maharashtra","M","GEN",54,253920,1,707157,1604992,21,44.05984578,3085411,1873762,773173,832,"89.21%","INC",1,"Graduate Professional",63926963,0,1,0,0
"49","ADAGALE BHAUSAHEB RAMCHANDRA","Pune","IND","Maharashtra","M","SC",48,645,24,735071,1806953,36,40.68013944,9429408,8090254,673704,915,"86.15%","INC",0,"10th Pass",831500,0,0,0,0
"50","ADARA BAURI","Bolpur","AUDF","West Bengal","F","SC",34,21325,4,1078894,1307730,7,82.50128085,NA,NA,NA,NA,NA,"CPM",0,"5th Pass",0,1,0,0,0
"51","ADHAGALE RAJENDRA NAMDEO","Shirdi","IND","Maharashtra","M","SC",39,1923,12,664001,1317890,17,50.38364355,4543159,4107143,320743,939,"79.05%",NA,0,NA,NA,NA,NA,NA,NA
"52","ADHALRAO SHIVAJI DATTATRAY","Shirur","SHS","Maharashtra","M","GEN",52,482563,1,839271,1630466,11,51.47430244,9429408,8090254,673704,915,"86.15%",NA,0,"Post Graduate",127113134,0,1,4,1
"53","ADHIKARI SISIR KUMAR","Kanthi","AITC","West Bengal","M","GEN",69,606712,1,1124621,1249775,4,89.98587746,5095875,4343972,743436,938,"87.02%",NA,0,"12th Pass",1083159,0,1,1,1
"54","ADHIKARI SUVENDU","Tamluk","AITC","West Bengal","M","GEN",39,637664,1,1148514,1271230,9,90.34667212,5095875,4343972,743436,938,"87.02%","CPM",0,"Graduate",4751934,0,1,3,1
"55","ADHIR RANJAN CHOWDHURY","Baharampur","INC","West Bengal","M","GEN",53,541920,1,952232,1179938,8,80.70186739,7103807,2359061,4707573,958,"66.59%","INC",1,"10th Pass",29943557,0,1,4,1
"56","ADHIVAKTA SHANKAR PENDAM","BETUL","IND","Madhya Pradesh","M","ST",66,9779,5,636569,1286761,16,49.47064762,1575362,1505745,37590,971,"68.90%","BJP",0,NA,NA,NA,NA,NA,NA
"57","ADITYA KISKU","Jhargram","IND","West Bengal","M","ST",46,26945,5,958389,1241574,8,77.19145214,2930115,2373120,227249,957,"64.48%","CPM",0,NA,NA,NA,NA,NA,NA
"58","ADITYANATH","Gorakhpur","BJP","Uttar Pradesh","M","GEN",36,403156,1,750975,1696474,26,44.26681458,4440895,4009037,403847,950,"70.83%","BJP",1,NA,NA,NA,NA,NA,NA
"59","ADSUL ANANDRAO VITHOBA","Amravati","SHS","Maharashtra","M","SC",61,314286,1,732574,1423855,22,51.45004231,2888445,2055177,421410,951,"87.38%","SHS",1,"Graduate",17708418,0,1,1,0
"60","ADV. BABASAHEB SADASHIVRAO GAIKWAD","Latur","BSP","Maharashtra","M","SC",49,34033,3,829488,1509987,18,54.93345307,2454196,2006984,367664,928,"77.26%","BJP",0,NA,NA,NA,NA,NA,NA
"61","ADV. BANSODE SHARAD MARUTI","Solapur","BJP","Maharashtra","M","SC",41,287959,2,743338,1594138,13,46.6294637,4317756,3795424,441254,938,"77.02%","BJP",1,"Graduate Professional",23038727,0,0,0,0
"62","ADV. BHAUSAHEB ANIL BELURE (BEMBLIKAR)","Osmanabad","IND","Maharashtra","M","GEN",29,1047,25,924717,1608852,25,57.47682198,1657576,1437623,178925,924,"78.44%","SHS",0,"Graduate Professional",50000,0,0,0,0
"63","ADV. C.S. BAHETI","Nanded","JP","Maharashtra","M","GEN",56,1514,22,774686,1439015,22,53.83446316,3361292,2501741,471951,943,"75.45%","BJP",0,"Post Graduate",7434500,0,0,0,0
"64","ADV. CHINTAMAN VANGA","Palghar","BJP","Maharashtra","M","ST",58,210874,2,732590,1523061,8,48.0998463,11060148,8716055,1355630,886,"84.53%",NA,0,NA,NA,NA,NA,NA,NA
"65","ADV. DADMAL PRABHAKAR MAHAGUJI","Gadchiroli-Chimur","PRBP","Maharashtra","M","ST",54,4228,11,837880,1285387,11,65.18503766,1072942,927411,21063,982,"74.36%",NA,0,"Post Graduate",1506000,0,0,0,0
"66","ADV. DHANANJAY SHAMLALJI RAJABHOJ","Bhandara - gondiya","IND","Maharashtra","M","GEN",50,6291,10,1033231,1450477,21,71.23387686,1200334,1009352,26502,982,"83.76%","BJP",0,NA,NA,NA,NA,NA,NA
"67","ADV. DUDHGAONKAR GANESHRAO NAGORAO","Parbhani","SHS","Maharashtra","M","GEN",64,385387,1,870750,1610088,19,54.08089496,1836086,1328385,306364,947,"73.34%","SHS",1,"Graduate Professional",28111720,0,1,0,0
"68","ADV. DUPARE ULHAS SHALIKRAM","Ramtek","IND","Maharashtra","M","SC",42,6860,6,764884,1502900,20,50.89387185,4653570,3492202,390974,951,"88.39%","SHS",0,"Graduate Professional",155000,0,0,0,0
"69","ADV. FIROZ AHMED ANSARI","Mumbai   South","IND","Maharashtra","M","GEN",52,633,14,641735,1589811,20,40.36548999,3085411,1873762,773173,832,"89.21%","INC",0,NA,NA,NA,NA,NA,NA
"70","ADV. GAJANAN SADASHIV KAWALE","Nagpur","RP(K)","Maharashtra","M","GEN",51,555,22,755684,1738920,27,43.45708831,4653570,3492202,390974,951,"88.39%","INC",0,"Graduate Professional",1641000,0,0,0,0
"71","ADV. HAZARE DATTABHAU KRUSHNARAO","Chandrapur","BSP","Maharashtra","M","GEN",52,57519,4,899430,1536352,23,58.54322447,2204307,1780085,92297,961,"80.01%","BJP",0,"Graduate Professional",6219000,0,0,0,0
"72","ADV. KASABEKAR SHRIDHAR LIMBAJI","Solapur","RSPS","Maharashtra","M","SC",59,6176,6,743338,1594138,13,46.6294637,4317756,3795424,441254,938,"77.02%","BJP",0,"Graduate Professional",1022756,0,0,0,0
"73","ADV. MATIN AHMED","Jalgaon","BSP","Maharashtra","M","GEN",38,12981,4,656573,1549391,13,42.37619813,4229917,3457615,560261,925,"78.20%","BJP",0,"Graduate Professional",20000,0,0,1,0
"74","ADV. PRAVIN MADHUKAR THAKUR","Raigad","IND","Maharashtra","M","GEN",39,39159,3,767678,1359830,7,56.45396851,2634200,2239370,227465,959,"83.14%",NA,0,"Graduate Professional",45559529,0,0,1,0
"75","ADV. RAJESH YESHWANT BHOSLE","Mumbai   South","PPOI","Maharashtra","M","SC",41,616,16,641735,1589811,20,40.36548999,3085411,1873762,773173,832,"89.21%","INC",0,NA,NA,NA,NA,NA,NA
"76","ADV. RAMRAO PANDURANG WAGHMARE","Nanded","IND","Maharashtra","M","SC",52,2156,16,774686,1439015,22,53.83446316,3361292,2501741,471951,943,"75.45%","BJP",0,"Literate",80000,0,0,0,0
"77","ADV. RAVINDRA PRALHADRAO PATIL","Raver","NCP","Maharashtra","M","GEN",54,300625,2,720038,1418691,19,50.75368773,4229917,3457615,560261,925,"78.20%","SHS",0,NA,NA,NA,NA,NA,NA
"78","ADV. SUDHIR HIRAMAN TAYADE","Amravati","IND","Maharashtra","M","SC",42,929,21,732574,1423855,22,51.45004231,2888445,2055177,421410,951,"87.38%","SHS",0,"Graduate Professional",0,0,0,0,0
"79","ADV. SURESH SHINDE","Wardha","IJP","Maharashtra","M","GEN",42,691,15,769255,1408781,16,54.60429975,1300774,1057096,53854,946,"86.99%","BJP",0,NA,NA,NA,NA,NA,NA
"80","ADV. UPASHA BANSI TAYWADE","Nagpur","IND","Maharashtra","M","SC",67,2800,5,755684,1738920,27,43.45708831,4653570,3492202,390974,951,"88.39%","INC",0,"Post Graduate",540000,0,0,0,0
"81","ADV. VASANTA UMRE","Nagpur","DPI","Maharashtra","M","SC",50,494,23,755684,1738920,27,43.45708831,4653570,3492202,390974,951,"88.39%","INC",0,"Post Graduate",1517500,0,0,0,0
"82","ADV. VASANTRAO JIVANRAO MORE","Jalgaon","NCP","Maharashtra","M","GEN",63,247627,2,656573,1549391,13,42.37619813,4229917,3457615,560261,925,"78.20%","BJP",0,"Graduate Professional",15021341,0,0,1,0
"83","ADV. YUVRAJ ANANDRAOJI BAGDE","Ramtek","IND","Maharashtra","M","SC",34,4706,8,764884,1502900,20,50.89387185,4653570,3492202,390974,951,"88.39%","SHS",0,"Post Graduate",50000,0,0,1,0
"84","ADV.B.M.KAUSHIK","HOSHANGABAD","BSP","Madhya Pradesh","M","SC",35,13299,4,711458,1297404,10,54.83704382,1241350,1175203,52269,914,"75.29%","BJP",0,NA,NA,NA,NA,NA,NA
"85","ADV.NATKAR RAMRAO SHESHERAO","Beed","IND","Maharashtra","M","GEN",61,5388,10,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,"76.99%","NCP",0,NA,NA,NA,NA,NA,NA
"86","ADV.S.S.SALVE RETIRED JUDGE","Kalyan","BBM","Maharashtra","M","SC",63,3242,5,544997,1588507,20,34.30875659,11060148,8716055,1355630,886,"84.53%",NA,0,"Post Graduate",4450000,0,0,0,0
"87","ADV.SHIVSHANKAR DATTATRAY SHINDE","Maval","KM","Maharashtra","M","GEN",31,1411,15,717773,1604886,18,44.72423586,9429408,8090254,673704,915,"86.15%",NA,0,"Graduate Professional",2e+06,0,0,0,0
"88","ADV.SUBHASH NARHAR GODSE","Pune","IND","Maharashtra","M","GEN",59,476,34,735071,1806953,36,40.68013944,9429408,8090254,673704,915,"86.15%","INC",0,"Graduate",205720,0,0,0,0
"89","ADVOCATE AZHAR UL ALIM","BALAGHAT","IND","Madhya Pradesh","M","GEN",58,1927,18,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,"77.09%","BJP",0,NA,NA,NA,NA,NA,NA
"90","ADVOCATE BRAHAM PAL GURJAR","Kairana","IND","Uttar Pradesh","M","GEN",38,3635,6,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,"69.12%","RLD",0,NA,NA,NA,NA,NA,NA
"91","ADVOCATE PRAMOD MAHADEV GORE","Maval","IND","Maharashtra","M","GEN",56,1262,16,717773,1604886,18,44.72423586,9429408,8090254,673704,915,"86.15%",NA,0,"Graduate",5155000,0,0,0,0
"92","ADVOCATE RAMESHWAR NEEKHRA","JABALPUR","INC","Madhya Pradesh","M","GEN",61,237919,2,633495,1446345,11,43.79971584,2463289,2159065,203652,929,"81.07%","BJP",0,NA,NA,NA,NA,NA,NA
"93","ADVOCATE TUKARAM WAMANRAO BANSODE","Maval","IND","Maharashtra","M","SC",64,1828,12,717773,1604886,18,44.72423586,9429408,8090254,673704,915,"86.15%",NA,0,"Post Graduate",561092,0,0,0,0
"94","AFROZ HUSNA. K.S","Tiruvannamalai","LJP","Tamil Nadu","F","GEN",38,5798,4,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,"12th Pass",447831,1,0,0,0
"95","AFZAL ANSARI","Ghazipur","BSP","Uttar Pradesh","M","GEN",55,309924,2,770448,1527723,15,50.43113182,3620268,3233790,368153,952,"71.78%","SP",0,"Post Graduate",45844836,0,0,3,1
"96","AGGARWAL RISHI DHARAMPAL","Mumbai North West","JGP","Maharashtra","M","GEN",34,3302,6,707157,1604992,21,44.05984578,3085411,1873762,773173,832,"89.21%","INC",0,NA,NA,NA,NA,NA,NA
"97","AHAMED HUSSAIN","Kanpur","IND","Uttar Pradesh","M","GEN",68,3728,5,512921,1390055,18,36.89933132,1796184,1612968,176327,862,"79.65%","INC",0,"Not Given",5379,0,0,1,0
"98","AHIR HANSARAJ GANGARAM","Chandrapur","BJP","Maharashtra","M","GEN",54,301467,1,899430,1536352,23,58.54322447,2204307,1780085,92297,961,"80.01%","BJP",1,"10th Pass",8084050,0,1,30,1
"99","AHIR KAMLA YADAV","DAMOH","SP","Madhya Pradesh","F","GEN",55,7826,3,599184,1357985,21,44.1230205,1264219,1186420,47966,910,"69.73%","BJP",0,NA,NA,NA,NA,NA,NA
"100","AHIRWAR GYADIN","TIKAMGARH","IND","Madhya Pradesh","M","SC",42,1178,17,525285,1209553,17,43.42802672,1445166,1383475,44143,901,"61.43%",NA,0,NA,NA,NA,NA,NA,NA
"101","AHIRWAR JAGDISH PRASAD","TIKAMGARH","LJP","Madhya Pradesh","M","SC",28,5135,8,525285,1209553,17,43.42802672,1445166,1383475,44143,901,"61.43%",NA,0,NA,NA,NA,NA,NA,NA
"102","AHIRWAR LAKHANLAL PURVI","BHOPAL","RPI(A)","Madhya Pradesh","M","SC",42,597,19,658855,1461714,23,45.07413899,2371061,1755861,525434,918,"80.37%","BJP",0,NA,NA,NA,NA,NA,NA
"103","AHIRWAR NARESH BOUDHA","SAGAR","BSP","Madhya Pradesh","M","SC",37,12703,4,570331,1185166,12,48.12245711,2378458,2198297,103480,893,"76.46%","BJP",0,NA,NA,NA,NA,NA,NA
"104","AHIRWAR RAMSWAROOP","TIKAMGARH","RSMD","Madhya Pradesh","M","SC",38,3190,12,525285,1209553,17,43.42802672,1445166,1383475,44143,901,"61.43%",NA,0,NA,NA,NA,NA,NA,NA
"105","AHIRWAR VRINDAVAN","TIKAMGARH","INC","Madhya Pradesh","M","SC",48,158247,2,525285,1209553,17,43.42802672,1445166,1383475,44143,901,"61.43%",NA,0,NA,NA,NA,NA,NA,NA
"106","AHITOSH MAITY","Ghatal","RDMP","West Bengal","M","GEN",53,3515,7,1170099,1354861,7,86.36302912,5095875,4343972,743436,938,"87.02%",NA,0,NA,NA,NA,NA,NA,NA
"107","AHMAD AFJAL SHEIKH","Thane","IND","Maharashtra","M","GEN",34,1109,21,749879,1806803,30,41.50308584,11060148,8716055,1355630,886,"84.53%","SHS",0,NA,NA,NA,NA,NA,NA
"108","AHMED MARECAR M.H","Mayiladuthurai","IND","Tamil Nadu","M","GEN",46,610,23,799586,1091519,23,73.254428,1616450,1435072,128617,NA,NA,"INC",0,"10th Pass",0,0,0,0,0
"109","AJAB LAL","BALAGHAT","BSP","Madhya Pradesh","M","GEN",35,35203,4,756645,1339239,18,56.49813065,1701698,1519384,38542,1021,"77.09%","BJP",0,NA,NA,NA,NA,NA,NA
"110","AJAB SINGH KUSHWAH","GWALIOR","BSP","Madhya Pradesh","M","GEN",36,76481,3,584549,1420728,23,41.14432882,2032036,1835299,141735,864,"76.65%","INC",0,NA,NA,NA,NA,NA,NA
"111","AJAB SINGH YADAV","Kannauj","ABAS","Uttar Pradesh","M","GEN",30,2207,9,741957,1504276,16,49.32319601,1656616,1375788,273967,879,"72.70%","SP",0,NA,NA,NA,NA,NA,NA
"112","AJABRAO UTTAMRAO BHONGADE","Akola","IND","Maharashtra","M","SC",36,1430,10,739255,1480606,11,49.92921817,1813906,1107809,357253,946,"88.05%","BJP",0,"Graduate",107000,0,0,0,0
"113","AJAS NOORMINYA","Hingoli","DESEP","Maharashtra","M","GEN",32,2308,11,817543,1369774,11,59.6845173,1177345,863199,127552,942,"78.17%","NCP",0,"10th Pass",60000,0,0,0,0
"114","AJAY AGRAWAL","Meerut","SJP(R)","Uttar Pradesh","M","GEN",44,1333,12,727711,1508788,29,48.23149442,3443689,2183255,1185643,886,"72.84%","BSP",0,NA,NA,NA,NA,NA,NA
"115","AJAY ALIAS AABA DADA JADHAV","Ratnagiri - sindhudurg","KKJHS","Maharashtra","M","GEN",28,7405,5,718722,1252255,9,57.39422083,1615069,1307211,187197,1122,"82.18%","SHS",0,NA,NA,NA,NA,NA,NA
"116","AJAY CHAKRABORTY","Basirhat","CPI","West Bengal","M","GEN",65,419267,2,1038241,1198579,8,86.622659,10009781,7352769,2584684,955,"84.06%","CPI",1,"Graduate",15389448,0,0,0,0
"117","AJAY KASYAP - GUDDU","Jaunpur","IND","Uttar Pradesh","M","GEN",26,10902,5,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,"71.55%","SP",0,"Literate",960500,0,0,0,0
"118","AJAY KUMAR","Faizabad","KKJHS","Uttar Pradesh","M","GEN",25,3049,15,749172,1500160,23,49.93947312,2470996,2094271,365806,962,"68.73%","BSP",0,"12th Pass",540000,0,0,0,0
"119","AJAY KUMAR","Gorakhpur","IND","Uttar Pradesh","M","GEN",40,1335,17,750975,1696474,26,44.26681458,4440895,4009037,403847,950,"70.83%","BJP",0,"12th Pass",45600,0,0,0,0
"120","AJAY KUMAR","Kheri","BJP","Uttar Pradesh","M","GEN",50,162850,3,708055,1297088,12,54.58804645,4021243,3078262,807600,894,"60.56%","SP",0,"Graduate Professional",15325070,0,0,2,0
"121","AJAY KUMAR SINGH","Mainpuri","IND","Uttar Pradesh","M","GEN",51,2578,7,695980,1399259,15,49.73918338,1868529,1746649,100723,881,"75.99%","SP",0,"Graduate",40000,0,0,0,0
"122","AJAY PRATAP SINGH","Aonla","IND","Uttar Pradesh","M","GEN",50,4135,9,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,"58.49%","JD(U)",0,"Not Given",31,0,0,0,0
"123","AJAY RAI","Varanasi","SP","Uttar Pradesh","M","GEN",36,123874,3,665530,1561854,15,42.61153731,3676841,3107681,546987,913,"75.60%","INC",0,"Graduate",5513025,0,0,4,1
"124","AJAY RAWAT","DHAR","BSP","Madhya Pradesh","M","ST",27,16082,3,654926,1197172,11,54.70609069,2185793,2051219,116202,964,"59%","BJP",0,NA,NA,NA,NA,NA,NA
